,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hilo,40,US,1524005760,69,19.71,-155.08,78.8,12.75
1,Hopelchen,5,MX,1524004920,61,19.77,-89.85,80.6,11.41
2,Carnarvon,80,ZA,1524010481,97,-30.97,22.13,55.37,8.52
3,Makakilo City,20,US,1524005820,57,21.35,-158.09,82.4,9.17
4,Albany,90,US,1524009240,59,42.65,-73.75,37.4,13.87
5,Hokitika,8,NZ,1524010482,100,-42.72,170.96,53.75,14.79
6,Port Hawkesbury,90,CA,1524009600,93,45.62,-61.36,44.6,17.22
7,Bay Roberts,75,CA,1524009600,86,47.58,-53.28,26.6,9.17
8,Kaitangata,0,NZ,1524010483,69,-46.28,169.85,50.6,18.7
9,Bambous Virieux,75,MU,1524006000,88,-20.34,57.76,78.8,14.99
10,Huilong,0,CN,1524010483,77,28.89,110.18,56.45,2.15
11,Maragogi,92,BR,1524010483,100,-9.01,-35.22,75.12,7.74
12,Rjukan,8,NO,1524010483,95,59.88,8.59,31.43,4.38
13,Matagami,0,NG,1524010483,85,9.67,8.4,68.87,3.83
14,Qaqortoq,48,GL,1524009000,52,60.72,-46.03,44.6,4.7
15,Cape Town,75,ZA,1524006000,88,-33.93,18.42,62.6,11.41
16,East London,0,ZA,1524010484,100,-33.02,27.91,74.45,8.41
17,Montrose,0,AU,1524009600,62,-37.81,145.34,57.2,2.93
18,Dikson,44,RU,1524010484,85,73.51,80.55,4.97,9.08
19,Rikitea,0,PF,1524010484,100,-23.12,-134.97,79.62,14.79
20,Ponta do Sol,68,BR,1524010484,55,-20.63,-46.0,69.63,10.87
21,Nanortalik,80,GL,1524010484,95,60.14,-45.24,33.09,2.37
22,Esperance,20,TT,1524006000,83,10.24,-61.45,78.8,6.93
23,Atuona,32,PF,1524010485,100,-9.8,-139.03,81.65,12.44
24,Saint-Louis,0,CH,1524009600,76,47.59,7.56,51.8,3.36
25,Tahoua,0,NE,1524010485,24,14.89,5.26,78.9,9.86
26,Baijiantan,80,CN,1524010485,64,45.63,85.18,50.37,5.06
27,Bujaru,20,BR,1524006000,88,-1.52,-48.04,77.0,5.82
28,Egvekinot,44,RU,1524010486,94,66.32,-179.17,29.81,3.04
29,Najran,0,SA,1524006000,19,17.54,44.22,80.6,2.24
30,Bluff,0,AU,1524010486,58,-23.58,149.07,80.12,7.4
31,Peniche,0,PT,1524009600,93,39.36,-9.38,55.4,2.24
32,Gorom-Gorom,8,BF,1524010486,20,14.45,-0.24,74.58,10.2
33,Tiksi,80,RU,1524010487,85,71.64,128.87,17.7,9.64
34,Codrington,92,AU,1524010487,100,-28.95,153.24,65.58,5.17
35,Petropavlovsk-Kamchatskiy,0,RU,1524007800,59,53.05,158.65,33.8,13.42
36,Busselton,12,AU,1524010487,100,-33.64,115.35,64.14,11.88
37,Guerrero Negro,0,MX,1524010487,52,27.97,-114.04,68.96,11.65
38,Nikolskoye,75,RU,1524007800,93,59.7,30.79,42.8,15.66
39,Alyangula,8,AU,1524010487,95,-13.85,136.42,86.15,15.35
40,Ushuaia,75,AR,1524006000,70,-54.81,-68.31,44.6,6.17
41,Concordia,0,AR,1524010488,69,-31.4,-58.02,75.17,6.06
42,Racine,90,US,1524009300,55,42.73,-87.78,37.4,4.7
43,Narsaq,64,GL,1524009000,52,60.91,-46.05,44.6,4.7
44,Formiga,44,BR,1524010488,61,-20.46,-45.43,68.1,13.44
45,Puttlingen,0,DE,1524009600,76,49.29,6.89,59.0,2.24
46,Saskylakh,0,RU,1524010489,67,71.97,114.09,7.62,4.94
47,Fortuna,0,ES,1524009600,87,38.18,-1.13,53.6,2.24
48,Tuktoyaktuk,40,CA,1524009600,84,69.44,-133.03,6.8,8.05
49,Laguna,5,MX,1524005160,14,27.52,-110.01,87.8,5.84
50,Punta Arenas,75,CL,1524006000,75,-53.16,-70.91,46.4,6.93
51,Port Elizabeth,90,US,1524009300,45,39.31,-74.98,44.6,11.41
52,Arica,0,CL,1524006000,64,-18.48,-70.32,69.8,5.82
53,Beloeil,90,CA,1524008640,97,45.57,-73.2,33.8,24.16
54,Arraial do Cabo,75,BR,1524006000,94,-22.97,-42.02,68.0,2.24
55,Takoradi,0,GH,1524010493,100,4.89,-1.75,81.6,7.96
56,Wattegama,68,LK,1524010493,96,7.35,80.68,71.79,2.59
57,Leningradskiy,80,RU,1524010493,100,69.38,178.42,27.78,15.79
58,Vaini,88,IN,1524010493,98,15.34,74.49,74.45,3.15
59,New Norfolk,20,AU,1524009600,62,-42.78,147.06,53.6,8.05
60,Lufilufi,90,WS,1524006000,100,-13.87,-171.6,78.8,14.99
61,Komsomolskiy,92,RU,1524010494,87,67.55,63.78,16.22,17.02
62,Katsuura,75,JP,1524006000,58,33.93,134.5,59.0,8.05
63,Puerto Ayora,20,EC,1524006000,74,-0.74,-90.35,80.6,17.22
64,Hermanus,56,ZA,1524010494,77,-34.42,19.24,61.4,4.72
65,Tautira,40,PF,1524009600,70,-17.73,-149.15,86.0,16.11
66,Mar del Plata,44,AR,1524010495,56,-46.43,-67.52,58.52,22.5
67,Cabra,0,ES,1524009600,93,37.47,-4.43,51.8,2.26
68,Satinka,80,RU,1524010495,70,52.38,41.68,52.35,8.19
69,Saint-Philippe,90,CA,1524009300,97,45.36,-73.48,33.8,24.16
70,Airai,8,TL,1524010495,69,-8.93,125.41,78.23,1.81
71,Aklavik,5,CA,1524009600,56,68.22,-135.01,15.8,10.29
72,Kakamigahara,75,JP,1524007800,100,35.4,136.85,57.2,1.12
73,Valdivia,20,CL,1524006000,81,-39.81,-73.25,50.0,3.36
74,Thompson,75,CA,1524009600,16,55.74,-97.86,46.4,5.82
75,Hobart,20,AU,1524009600,62,-42.88,147.33,53.6,8.05
76,Klaksvik,76,FO,1524009000,93,62.23,-6.59,48.2,19.46
77,Okakarara,0,NA,1524010497,87,-20.59,17.46,54.56,2.71
78,Goderich,92,CA,1524010497,86,43.74,-81.71,33.32,16.69
79,Shieli,12,KZ,1524010497,90,44.18,66.74,41.28,3.94
80,Sungaipenuh,88,ID,1524010497,97,-2.08,101.38,67.38,0.58
81,Port Alfred,0,ZA,1524010497,86,-33.59,26.89,69.5,5.39
82,Ribeira Grande,24,PT,1524010497,100,38.52,-28.7,58.2,26.53
83,Tasiilaq,92,GL,1524009000,91,65.61,-37.64,33.8,5.82
84,Sistranda,75,NO,1524009000,75,63.73,8.83,46.4,6.93
85,Marechal Candido Rondon,76,BR,1524010498,67,-24.56,-54.06,74.81,7.18
86,Kieta,68,PG,1524010498,100,-6.22,155.63,81.65,3.49
87,Kavieng,24,PG,1524010498,100,-2.57,150.8,81.6,3.38
88,Vila Velha,0,BR,1524006000,83,-3.71,-38.6,77.0,9.17
89,Clyde River,1,CA,1524009600,91,70.47,-68.59,-2.21,3.36
90,Kodiak,1,US,1524005580,36,39.95,-94.76,64.4,12.75
91,Thohoyandou,0,ZA,1524010502,88,-22.97,30.46,53.43,1.59
92,Morrinhos,80,BR,1524010502,85,-17.73,-49.11,67.74,8.75
93,Springhill,76,CA,1524010502,100,45.64,-64.06,48.08,9.64
94,Butaritari,76,KI,1524010502,100,3.07,172.79,81.78,11.21
95,Zhigansk,0,RU,1524010502,66,66.77,123.37,27.69,3.15
96,Victoria,75,BN,1524009600,88,5.28,115.24,80.6,1.12
97,Upernavik,20,GL,1524010503,98,72.79,-56.15,8.03,20.04
98,Kampot,88,KH,1524010503,100,10.62,104.18,72.78,3.6
99,Touros,76,BR,1524010503,91,-5.2,-35.46,79.13,7.74
100,Hami,76,CN,1524010503,55,42.84,93.51,53.12,4.61
101,Hithadhoo,88,MV,1524010503,100,-0.6,73.08,83.36,5.17
102,Barrow,20,AR,1524010504,73,-38.31,-60.23,59.6,8.19
103,Ostrovnoy,24,RU,1524010504,89,68.05,39.51,28.05,11.77
104,Mackay,90,CA,1524009600,53,53.65,-115.58,41.0,6.93
105,Kajansi,40,UG,1524007800,78,0.21,32.52,71.6,4.7
106,Talnakh,88,RU,1524010504,85,69.49,88.39,2.22,5.95
